,id,key,attack,defense,magic,difficulty,tags,hp,hpperlevel,mp,mpperlevel,movespeed,armor,armorperlevel,spellblock,spellblockperlevel,attackrange,hpregen,hpregenperlevel,mpregen,mpregenperlevel,crit,critperlevel,attackdamage,attackdamageperlevel,attackspeedperlevel,attackspeed
0,Aatrox,266,8,4,3,4,"['Fighter', 'Tank']",580.0,90,0.0,0.0,345,38.0,3.25,32.1,1.25,175,3.0,1.0,0.0,0.0,0,0,60.0,5.0,2.5,0.651
1,Ahri,103,3,4,8,5,"['Mage', 'Assassin']",526.0,92,418.0,25.0,330,20.88,3.5,30.0,0.5,550,6.5,0.6,8.0,0.8,0,0,53.04,3.0,2.0,0.668
2,Akali,84,5,3,8,7,['Assassin'],575.0,95,200.0,0.0,345,23.0,3.5,37.0,1.25,125,8.0,0.5,50.0,0.0,0,0,62.4,3.3,3.2,0.625
3,Alistar,12,6,9,5,7,"['Tank', 'Support']",600.0,106,350.0,40.0,330,44.0,3.5,32.1,1.25,125,8.5,0.85,8.5,0.8,0,0,62.0,3.75,2.125,0.625
4,Amumu,32,2,6,8,3,"['Tank', 'Mage']",613.12,84,287.2,40.0,335,33.0,3.8,32.1,1.25,125,9.0,0.85,7.382,0.525,0,0,53.38,3.8,2.18,0.736
5,Anivia,34,1,4,10,10,"['Mage', 'Support']",480.0,82,495.0,25.0,325,21.22,4.0,30.0,0.5,600,5.5,0.55,8.0,0.8,0,0,51.376,3.2,1.68,0.625
6,Annie,1,2,3,10,6,['Mage'],524.0,88,418.0,25.0,335,19.22,4.0,30.0,0.5,625,5.5,0.55,8.0,0.8,0,0,50.41,2.625,1.36,0.579
7,Aphelios,523,6,2,1,10,['Marksman'],530.0,88,348.0,42.0,325,28.0,3.0,26.0,0.5,550,3.25,0.55,6.5,0.4,0,0,57.0,2.0,2.1,0.64
8,Ashe,22,7,3,2,4,"['Marksman', 'Support']",570.0,87,280.0,32.0,325,26.0,3.4,30.0,0.5,600,3.5,0.55,6.972,0.4,0,0,61.0,2.96,3.33,0.658
9,AurelionSol,136,2,3,8,7,['Mage'],575.0,92,350.0,50.0,325,19.0,3.6,30.0,0.5,550,7.0,0.6,6.0,0.8,0,0,57.0,3.2,1.36,0.625
10,Azir,268,6,3,8,9,"['Mage', 'Marksman']",552.0,92,480.0,21.0,335,19.04,3.0,30.0,0.5,525,7.0,0.75,8.0,0.8,0,0,52.0,2.8,3.0,0.625
11,Bard,432,4,4,5,9,"['Support', 'Mage']",560.0,89,350.0,50.0,330,34.0,4.0,30.0,0.5,500,5.5,0.55,6.0,0.45,0,0,52.0,3.0,2.0,0.625
12,Blitzcrank,53,4,8,5,4,"['Tank', 'Fighter']",582.6,95,267.2,40.0,325,37.0,3.5,32.1,1.25,125,8.5,0.75,8.5,0.8,0,0,61.54,3.5,1.13,0.625
13,Brand,63,2,2,9,4,['Mage'],519.68,88,469.0,21.0,340,21.88,3.5,30.0,0.5,550,5.5,0.55,10.665,0.6,0,0,57.04,3.0,1.36,0.625
14,Braum,201,3,9,4,3,"['Support', 'Tank']",540.0,98,310.6,45.0,335,47.0,4.0,32.1,1.25,125,8.5,1.0,6.0,0.8,0,0,55.376,3.2,3.5,0.644
15,Caitlyn,51,8,2,2,6,['Marksman'],510.0,93,313.7,35.0,330,28.0,3.5,30.0,0.5,650,3.5,0.55,7.4,0.55,0,0,64.0,2.88,4.0,0.681
16,Camille,164,8,6,3,4,"['Fighter', 'Tank']",575.6,85,338.8,32.0,340,35.0,3.8,32.1,1.25,125,8.5,0.8,8.15,0.75,0,0,68.0,3.5,2.5,0.644
17,Cassiopeia,69,2,3,9,10,['Mage'],560.0,90,350.0,40.0,328,18.0,3.5,32.0,0.5,550,5.5,0.5,8.0,0.8,0,0,53.0,3.0,1.5,0.647
18,Chogath,31,3,7,7,5,"['Tank', 'Mage']",574.4,80,272.2,40.0,345,38.0,3.5,32.1,1.25,125,9.0,0.85,7.206,0.45,0,0,69.0,4.2,1.44,0.625
19,Corki,42,8,3,6,6,['Marksman'],518.0,87,350.16,34.0,325,28.0,3.5,30.0,0.5,550,5.5,0.55,7.424,0.55,0,0,55.0,2.5,2.3,0.638
20,Darius,122,9,5,1,2,"['Fighter', 'Tank']",582.24,100,263.0,37.5,340,39.0,4.0,32.1,1.25,175,10.0,0.95,6.6,0.35,0,0,64.0,5.0,1.0,0.625
21,Diana,131,7,6,8,4,"['Fighter', 'Mage']",570.0,95,375.0,25.0,345,31.0,3.6,32.1,1.25,150,7.5,0.85,8.0,0.8,0,0,57.0,3.0,2.25,0.625
22,Draven,119,9,3,1,8,['Marksman'],605.0,90,360.56,39.0,330,29.0,3.3,30.0,0.5,550,3.75,0.7,8.042,0.65,0,0,60.0,3.61,2.7,0.679
23,DrMundo,36,5,7,6,5,"['Fighter', 'Tank']",582.52,89,0.0,0.0,345,36.0,3.5,32.1,1.25,125,8.0,0.75,0.0,0.0,0,0,61.27,3.5,2.8,0.721
24,Ekko,245,5,3,7,8,"['Assassin', 'Fighter']",585.0,85,280.0,50.0,340,32.0,3.0,32.0,1.25,125,9.0,0.9,7.0,0.8,0,0,58.0,3.0,3.3,0.688
25,Elise,60,6,5,7,9,"['Mage', 'Fighter']",534.0,93,324.0,50.0,330,27.0,3.35,30.0,0.5,550,5.5,0.6,6.0,0.8,0,0,55.0,3.0,1.75,0.625
26,Evelynn,28,4,2,7,10,"['Assassin', 'Mage']",572.0,84,315.6,42.0,335,37.0,3.5,32.1,1.25,125,8.5,0.75,8.108,0.6,0,0,61.0,3.0,2.1,0.667
27,Ezreal,81,7,2,6,7,"['Marksman', 'Mage']",530.0,88,375.0,50.0,325,22.0,3.5,30.0,0.5,550,4.0,0.55,8.5,0.65,0,0,60.0,2.5,2.5,0.625
28,Fiddlesticks,9,2,3,9,9,"['Mage', 'Support']",580.4,92,500.0,28.0,335,34.0,3.5,30.0,0.5,480,5.5,0.6,8.0,0.8,0,0,55.36,2.625,2.11,0.625
29,Fiora,114,10,4,2,3,"['Fighter', 'Assassin']",550.0,85,300.0,40.0,345,33.0,3.5,32.1,1.25,150,8.5,0.55,8.0,0.7,0,0,68.0,3.3,3.2,0.69
30,Fizz,105,6,4,7,6,"['Assassin', 'Fighter']",570.0,98,317.2,37.0,335,22.412,3.4,32.1,1.25,175,8.0,0.7,6.0,0.8,0,0,58.04,3.0,3.1,0.658
31,Galio,3,1,10,6,5,"['Tank', 'Mage']",562.0,112,500.0,40.0,335,24.0,3.5,32.0,1.25,150,8.0,0.8,9.5,0.7,0,0,59.0,3.5,1.5,0.625
32,Gangplank,41,7,6,4,9,['Fighter'],540.0,82,282.0,40.0,345,35.0,3.0,32.1,1.25,125,6.0,0.6,7.5,0.7,0,0,64.0,3.0,3.2,0.658
33,Garen,86,7,7,1,5,"['Fighter', 'Tank']",620.0,84,0.0,0.0,340,36.0,3.0,32.1,0.75,175,8.0,0.5,0.0,0.0,0,0,66.0,4.5,3.65,0.625
34,Gnar,150,6,5,5,8,"['Fighter', 'Tank']",510.0,65,100.0,0.0,335,32.0,2.5,30.0,0.5,175,4.5,1.75,0.0,0.0,0,0,59.0,3.0,6.0,0.625
35,Gragas,79,4,7,6,5,"['Fighter', 'Mage']",600.0,95,400.0,47.0,330,35.0,3.6,32.1,1.25,125,5.5,0.5,6.0,0.8,0,0,64.0,3.5,2.05,0.675
36,Graves,104,8,5,3,3,['Marksman'],555.0,92,325.0,40.0,340,33.0,3.4,32.0,1.25,425,8.0,0.7,8.0,0.7,0,0,68.0,3.0,2.6,0.475
37,Hecarim,120,8,6,4,6,"['Fighter', 'Tank']",580.0,90,277.2,40.0,345,36.0,4.0,32.1,1.25,175,7.0,0.75,6.5,0.6,0,0,66.0,3.2,2.5,0.67
38,Heimerdinger,74,2,6,8,8,"['Mage', 'Support']",488.0,87,385.0,20.0,340,19.04,3.0,30.0,0.5,550,7.0,0.55,8.0,0.8,0,0,55.536,2.7,1.36,0.625
39,Illaoi,420,8,6,3,4,"['Fighter', 'Tank']",585.6,95,300.0,40.0,340,35.0,3.8,32.1,1.25,125,9.5,0.8,7.5,0.75,0,0,68.0,5.0,2.5,0.571
40,Irelia,39,7,4,5,5,"['Fighter', 'Assassin']",580.0,95,350.0,30.0,335,36.0,3.0,32.0,1.25,200,8.5,0.85,8.0,0.8,0,0,63.0,4.0,2.5,0.656
41,Ivern,427,3,5,7,7,"['Support', 'Mage']",585.0,95,450.0,60.0,330,27.0,3.5,32.1,1.25,475,7.0,0.85,6.0,0.75,0,0,50.0,3.0,3.4,0.644
42,Janna,40,3,5,7,7,"['Support', 'Mage']",500.0,70,350.0,64.0,315,28.0,3.8,30.0,0.5,550,5.5,0.55,11.5,0.4,0,0,46.0,1.5,2.95,0.625
43,JarvanIV,59,6,8,3,5,"['Tank', 'Fighter']",570.0,90,300.0,40.0,340,34.0,3.6,32.1,1.25,175,8.0,0.7,6.5,0.45,0,0,64.0,3.4,2.5,0.658
44,Jax,24,7,5,7,5,"['Fighter', 'Assassin']",592.8,85,338.8,32.0,350,36.0,3.0,32.1,1.25,125,8.5,0.55,7.576,0.7,0,0,68.0,3.375,3.4,0.638
45,Jayce,126,8,4,3,7,"['Fighter', 'Marksman']",560.0,90,375.0,45.0,335,27.0,3.5,30.0,0.5,125,6.0,0.6,6.0,0.8,0,0,54.0,4.25,3.0,0.658
46,Jhin,202,10,2,6,6,"['Marksman', 'Mage']",585.0,93,300.0,50.0,330,24.0,3.5,30.0,0.5,550,3.75,0.55,6.0,0.8,0,0,59.0,4.7,0.0,0.625
47,Jinx,222,9,2,4,6,['Marksman'],610.0,86,245.0,45.0,325,28.0,3.5,30.0,0.5,525,3.75,0.5,6.7,1.0,0,0,57.0,3.4,1.0,0.625
48,Kaisa,145,8,5,3,6,['Marksman'],600.0,88,344.88,38.0,335,28.0,3.0,30.0,0.5,525,3.5,0.55,8.2,0.45,0,0,59.0,1.7,1.8,0.644
49,Kalista,429,8,2,4,7,['Marksman'],534.0,100,250.0,45.0,325,21.0,4.0,30.0,0.5,525,3.75,0.55,6.3,0.4,0,0,69.0,3.5,4.0,0.694
50,Karma,43,1,7,8,5,"['Mage', 'Support']",534.0,95,374.0,50.0,335,26.0,3.8,30.0,0.5,525,5.5,0.55,11.5,0.5,0,0,53.544,3.3,2.3,0.625
51,Karthus,30,2,2,10,7,['Mage'],550.0,87,467.0,30.5,335,20.88,3.5,30.0,0.5,450,6.5,0.55,8.0,0.8,0,0,45.66,3.25,2.11,0.625
52,Kassadin,38,3,5,8,8,"['Assassin', 'Mage']",576.0,90,397.6,67.0,335,19.0,2.8,30.0,0.5,150,6.0,0.5,6.0,0.8,0,0,58.852,3.9,3.7,0.64
53,Katarina,55,4,3,9,8,"['Assassin', 'Mage']",602.0,94,0.0,0.0,340,27.88,3.5,32.1,1.25,125,7.5,0.7,0.0,0.0,0,0,58.0,3.2,2.74,0.658
54,Kayle,10,6,6,7,7,"['Fighter', 'Support']",600.0,85,330.0,50.0,335,26.0,3.0,34.0,0.5,175,5.0,0.5,8.0,0.8,0,0,50.0,2.5,1.5,0.625
55,Kayn,141,10,6,1,8,"['Fighter', 'Assassin']",585.0,85,410.0,50.0,340,38.0,3.3,32.1,1.25,175,8.0,0.75,11.5,0.95,0,0,68.0,3.3,2.7,0.669
56,Kennen,85,6,4,7,4,"['Mage', 'Marksman']",541.0,84,200.0,0.0,335,29.0,3.75,30.0,0.5,550,5.5,0.65,50.0,0.0,0,0,48.0,3.75,3.4,0.625
57,Khazix,121,9,4,3,6,['Assassin'],572.8,85,327.2,40.0,350,36.0,3.0,32.1,1.25,125,7.5,0.75,7.59,0.5,0,0,63.0,3.1,2.7,0.668
58,Kindred,203,8,2,2,4,['Marksman'],540.0,85,300.0,35.0,325,29.0,3.5,30.0,0.5,500,7.0,0.55,7.0,0.4,0,0,65.0,2.5,3.5,0.625
59,Kled,240,8,2,2,7,"['Fighter', 'Tank']",340.0,70,100.0,0.0,345,35.0,4.0,32.1,1.25,125,6.0,0.75,0.0,0.0,0,0,65.0,3.5,3.5,0.625
60,KogMaw,96,8,2,5,6,"['Marksman', 'Mage']",565.0,90,325.0,40.0,330,24.0,3.5,30.0,0.5,500,3.75,0.55,8.75,0.7,0,0,61.0,3.11,2.65,0.665
61,Leblanc,7,1,4,10,9,"['Assassin', 'Mage']",528.0,92,334.0,50.0,340,21.88,3.5,30.0,0.5,525,7.5,0.55,6.0,0.8,0,0,54.88,3.5,1.4,0.625
62,LeeSin,64,8,5,3,6,"['Fighter', 'Assassin']",575.0,85,200.0,0.0,345,33.0,3.7,32.1,1.25,125,7.5,0.7,50.0,0.0,0,0,70.0,3.2,3.0,0.651
63,Leona,89,4,8,3,4,"['Tank', 'Support']",576.16,87,302.2,40.0,335,47.0,3.6,32.1,1.25,125,8.5,0.85,6.0,0.8,0,0,60.04,3.0,2.9,0.625
64,Lillia,876,0,2,10,8,"['Fighter', 'Mage']",580.0,90,410.0,50.0,330,20.0,4.0,32.1,0.75,325,9.0,0.75,11.5,0.95,0,0,61.0,3.1,2.7,0.625
65,Lissandra,127,2,5,8,6,['Mage'],550.0,90,475.0,30.0,325,22.0,3.7,30.0,0.5,550,7.0,0.55,8.0,0.4,0,0,53.0,2.7,1.36,0.656
66,Lucian,236,8,5,3,6,['Marksman'],571.0,86,348.88,38.0,335,28.0,3.0,30.0,0.5,500,3.75,0.65,8.176,0.7,0,0,64.0,2.75,3.3,0.638
67,Lulu,117,4,5,7,5,"['Support', 'Mage']",525.0,74,350.0,55.0,330,29.0,3.7,30.0,0.5,550,6.0,0.6,11.0,0.6,0,0,47.0,2.6,2.25,0.625
68,Lux,99,2,4,9,5,"['Mage', 'Support']",490.0,85,480.0,23.5,330,18.72,4.0,30.0,0.5,550,5.5,0.55,8.0,0.8,0,0,53.54,3.3,1.0,0.669
69,Malphite,54,5,9,7,2,"['Tank', 'Fighter']",574.2,90,282.2,40.0,335,37.0,3.75,32.1,1.25,125,7.0,0.55,7.324,0.55,0,0,61.97,4.0,3.4,0.736
70,Malzahar,90,2,2,9,6,"['Mage', 'Assassin']",537.0,87,375.0,27.5,335,18.0,3.5,30.0,0.5,500,6.0,0.6,8.0,0.8,0,0,55.0,3.0,1.5,0.625
71,Maokai,57,3,8,6,3,"['Tank', 'Mage']",565.0,95,375.0,43.0,335,39.0,4.0,32.1,1.25,125,5.0,0.75,7.2,0.6,0,0,63.54,3.3,2.125,0.8
72,MasterYi,11,10,4,2,4,"['Assassin', 'Fighter']",598.56,92,250.56,42.0,355,33.0,3.0,32.1,1.25,125,7.5,0.65,7.256,0.45,0,0,66.0,3.0,2.0,0.679
73,MissFortune,21,8,2,5,1,['Marksman'],570.0,93,325.84,35.0,325,28.0,3.0,30.0,0.5,550,3.75,0.65,8.042,0.65,0,0,52.0,2.7,2.25,0.656
74,MonkeyKing,62,8,5,2,3,"['Fighter', 'Tank']",540.0,85,300.0,45.0,345,31.0,3.5,28.0,1.25,175,4.0,0.65,8.0,0.65,0,0,68.0,4.0,3.0,0.711
75,Mordekaiser,82,4,6,7,4,['Fighter'],575.0,90,100.0,0.0,335,37.0,3.0,32.0,1.25,175,5.0,0.75,0.0,0.0,0,0,61.0,4.0,1.0,0.625
76,Morgana,25,1,6,8,1,"['Mage', 'Support']",560.0,90,340.0,60.0,335,25.0,3.8,30.0,0.5,450,5.5,0.4,11.0,0.4,0,0,56.0,3.5,1.53,0.625
77,Nami,267,4,3,7,5,"['Support', 'Mage']",475.0,74,365.0,43.0,335,29.0,4.0,30.0,0.5,550,5.5,0.55,11.5,0.4,0,0,51.208,3.1,2.61,0.644
78,Nasus,75,7,5,6,6,"['Fighter', 'Tank']",561.2,90,325.6,42.0,350,34.0,3.5,32.1,1.25,125,9.0,0.9,7.44,0.5,0,0,67.0,3.5,3.48,0.638
79,Nautilus,111,4,6,6,6,"['Tank', 'Fighter']",576.48,86,400.0,47.0,325,39.0,3.75,32.1,1.25,175,8.5,0.55,8.626,0.5,0,0,61.0,3.3,1.0,0.706
80,Neeko,518,1,1,9,5,"['Mage', 'Support']",540.0,90,450.0,30.0,340,21.0,4.0,30.0,0.5,550,7.5,0.75,7.0,0.7,0,0,48.0,2.5,3.5,0.625
81,Nidalee,76,5,4,7,8,"['Assassin', 'Mage']",545.0,85,295.6,45.0,335,28.0,3.5,30.0,0.5,525,6.0,0.6,6.0,0.8,0,0,61.0,3.5,3.22,0.638
82,Nocturne,56,9,5,2,4,"['Assassin', 'Fighter']",585.0,85,275.0,35.0,345,38.0,3.5,32.1,0.75,125,7.0,0.75,7.0,0.45,0,0,62.0,3.1,2.7,0.721
83,Nunu,20,4,6,7,4,"['Tank', 'Fighter']",570.0,82,280.0,42.0,345,32.0,3.0,32.1,1.25,125,5.0,0.8,7.0,0.5,0,0,61.0,3.0,2.25,0.625
84,Olaf,2,9,5,3,3,"['Fighter', 'Tank']",597.24,93,315.6,42.0,350,35.0,3.0,32.1,1.25,125,8.5,0.9,7.466,0.575,0,0,68.0,3.5,2.7,0.694
